"id","user_id","date","ref","amount"
"1","559","2023-10-01 00:57:00","***3080","900.00"
"2","2986","2023-10-01 01:31:00","***8660","300.00"
"3","1059","2023-10-01 02:56:00","***6420","200.00"
"4","2138","2023-10-01 03:50:00","***7980","300.00"
"5","482","2023-10-01 04:16:00","***3640","200.00"
"6","2414","2023-10-01 04:20:00","***0020","400.00"
"7","2723","2023-10-01 04:29:00","***3300","600.00"
"8","582","2023-10-01 04:42:00","***8050","200.00"
"9","79","2023-10-01 05:18:00","***2260","400.00"
"10","399","2023-10-01 05:38:00","***8800","200.00"
"11","669","2023-10-01 05:43:00","***1400","300.00"
"12","2836","2023-10-01 06:50:00","***5460","700.00"
"13","1296","2023-10-01 07:35:00","***8370","600.00"
"14","307","2023-10-01 08:28:00","***7500","1000.00"
"15","1101","2023-10-01 09:07:00","***6690","800.00"
"16","2784","2023-10-01 10:01:00","***3310","700.00"
"17","1215","2023-10-01 11:14:00","***3700","400.00"
"18","547","2023-10-01 11:41:00","***0190","600.00"
"19","682","2023-10-01 14:24:00","***9910","400.00"
"20","2980","2023-10-01 14:28:00","***0930","500.00"
"21","1486","2023-10-01 14:29:00","***7280","300.00"
"22","654","2023-10-01 17:13:00","***7020","700.00"
"23","2690","2023-10-01 17:27:00","***3690","200.00"
"24","1809","2023-10-01 17:27:00","***9850","900.00"
"25","1502","2023-10-01 18:28:00","***7000","700.00"
"26","1248","2023-10-01 18:42:00","***0600","1000.00"
"27","2113","2023-10-01 18:46:00","***1960","1000.00"
"28","1609","2023-10-01 19:29:00","***8820","800.00"
"29","2026","2023-10-01 20:41:00","***1110","100.00"
"30","1614","2023-10-01 20:42:00","***2640","400.00"
"31","1718","2023-10-01 20:44:00","***0020","400.00"
"32","309","2023-10-01 22:42:00","***7780","700.00"
"33","1260","2023-10-01 23:01:00","***8820","200.00"
"34","422","2023-10-01 23:33:00","***8100","600.00"
"35","552","2023-10-02 00:05:00","***9020","900.00"
"36","339","2023-10-02 00:16:00","***7920","100.00"
"37","2187","2023-10-02 00:21:00","***7620","600.00"
"38","2041","2023-10-02 01:00:00","***8650","300.00"
"39","199","2023-10-02 01:09:00","***3200","400.00"
"40","2650","2023-10-02 02:28:00","***7700","300.00"
"41","1134","2023-10-02 02:51:00","***1410","700.00"
"42","1981","2023-10-02 02:56:00","***1680","900.00"
"43","101","2023-10-02 03:20:00","***5840","600.00"
"44","2037","2023-10-02 04:20:00","***5210","500.00"
"45","1968","2023-10-02 04:58:00","***0420","700.00"
"46","226","2023-10-02 05:28:00","***0900","400.00"
"47","551","2023-10-02 07:00:00","***8630","700.00"
"48","1796","2023-10-02 07:12:00","***6050","300.00"
"49","2279","2023-10-02 07:29:00","***2830","500.00"
"50","1688","2023-10-02 07:49:00","***5660","1000.00"
"51","2597","2023-10-02 08:04:00","***0000","200.00"
"52","948","2023-10-02 08:28:00","***4200","200.00"
"53","1291","2023-10-02 08:41:00","***8120","1000.00"
"54","1047","2023-10-02 09:08:00","***3130","900.00"
"55","1043","2023-10-02 09:09:00","***7460","500.00"
"56","2004","2023-10-02 09:13:00","***5050","400.00"
"57","209","2023-10-02 11:05:00","***3490","800.00"
"58","1616","2023-10-02 12:10:00","***5590","100.00"
"59","1325","2023-10-02 12:30:00","***4460","500.00"
"60","1019","2023-10-02 13:54:00","***9210","200.00"
"61","1138","2023-10-02 14:02:00","***4260","600.00"
"62","2439","2023-10-02 14:10:00","***6380","600.00"
"63","234","2023-10-02 14:55:00","***4920","600.00"
"64","2839","2023-10-02 15:20:00","***3000","800.00"
"65","1360","2023-10-02 15:22:00","***4400","300.00"
"66","2173","2023-10-02 18:29:00","***0190","500.00"
"67","2395","2023-10-02 18:42:00","***5450","100.00"
"68","2562","2023-10-02 18:45:00","***4690","300.00"
"69","1516","2023-10-02 19:28:00","***0790","300.00"
"70","2204","2023-10-02 20:32:00","***2300","800.00"
"71","249","2023-10-02 20:43:00","***9050","200.00"
"72","2769","2023-10-02 20:48:00","***2190","400.00"
"73","620","2023-10-02 21:09:00","***6230","800.00"
"74","1987","2023-10-02 21:35:00","***3690","400.00"
"75","1552","2023-10-02 22:18:00","***1500","1000.00"
"76","2037","2023-10-02 22:35:00","***5210","400.00"
"77","1530","2023-10-02 23:31:00","***2400","700.00"
"78","2608","2023-10-03 00:13:00","***6020","1000.00"
"79","1220","2023-10-03 00:33:00","***2340","100.00"
"80","2371","2023-10-03 01:05:00","***7060","900.00"
"81","656","2023-10-03 01:06:00","***6420","800.00"
"82","971","2023-10-03 01:16:00","***3930","700.00"
"83","1194","2023-10-03 02:00:00","***6130","700.00"
"84","1275","2023-10-03 02:33:00","***5160","700.00"
"85","2010","2023-10-03 02:33:00","***3000","300.00"
"86","2743","2023-10-03 02:39:00","***8340","900.00"
"87","264","2023-10-03 03:38:00","***6420","300.00"
"88","2004","2023-10-03 04:10:00","***5050","700.00"
"89","2965","2023-10-03 04:38:00","***6180","900.00"
"90","1785","2023-10-03 05:01:00","***3820","600.00"
"91","1458","2023-10-03 05:18:00","***1370","600.00"
"92","1698","2023-10-03 05:44:00","***2170","900.00"
"93","1014","2023-10-03 06:17:00","***9530","900.00"
"94","2830","2023-10-03 07:06:00","***1860","1000.00"
"95","139","2023-10-03 07:19:00","***5910","1000.00"
"96","1174","2023-10-03 07:22:00","***0460","900.00"
"97","851","2023-10-03 07:55:00","***3450","500.00"
"98","399","2023-10-03 08:04:00","***8800","200.00"
"99","797","2023-10-03 08:13:00","***6610","800.00"
"100","248","2023-10-03 08:54:00","***4030","200.00"
"101","1374","2023-10-03 10:07:00","***9350","700.00"
"102","2852","2023-10-03 10:24:00","***9920","100.00"
"103","100","2023-10-03 11:02:00","***7480","1000.00"
"104","2021","2023-10-03 11:31:00","***0730","600.00"
"105","497","2023-10-03 11:40:00","***9030","1000.00"
"106","295","2023-10-03 11:42:00","***3610","400.00"
"107","1558","2023-10-03 11:43:00","***4930","600.00"
"108","2542","2023-10-03 11:51:00","***5120","1000.00"
"109","728","2023-10-03 12:11:00","***3450","400.00"
"110","2604","2023-10-03 12:20:00","***4210","200.00"
"111","270","2023-10-03 12:31:00","***3210","500.00"
"112","2194","2023-10-03 14:21:00","***0500","900.00"
"113","794","2023-10-03 14:53:00","***2900","200.00"
"114","693","2023-10-03 15:39:00","***0140","1000.00"
"115","1604","2023-10-03 15:41:00","***8820","700.00"
"116","1656","2023-10-03 15:53:00","***4360","700.00"
"117","2447","2023-10-03 16:21:00","***5860","800.00"
"118","722","2023-10-03 16:24:00","***1600","100.00"
"119","2740","2023-10-03 16:58:00","***1490","700.00"
"120","1457","2023-10-03 18:52:00","***0290","900.00"
"121","1203","2023-10-03 19:15:00","***8300","500.00"
"122","1629","2023-10-03 20:37:00","***7720","200.00"
"123","1570","2023-10-03 20:45:00","***1840","100.00"
"124","1012","2023-10-03 21:17:00","***3300","900.00"
"125","634","2023-10-03 21:21:00","***4150","100.00"
"126","491","2023-10-03 22:53:00","***2460","700.00"
"127","698","2023-10-03 23:39:00","***0100","300.00"
"128","2927","2023-10-04 00:06:00","***5690","700.00"
"129","2950","2023-10-04 00:20:00","***4860","500.00"
"130","392","2023-10-04 00:20:00","***5400","600.00"
"131","1420","2023-10-04 00:28:00","***6950","800.00"
"132","13","2023-10-04 01:26:00","***5090","800.00"
"133","1660","2023-10-04 01:45:00","***4980","400.00"
"134","5","2023-10-04 01:57:00","***5110","500.00"
"135","1244","2023-10-04 02:13:00","***1430","500.00"
"136","789","2023-10-04 03:00:00","***1880","700.00"
"137","118","2023-10-04 04:02:00","***3670","1000.00"
"138","1149","2023-10-04 04:03:00","***6230","300.00"
"139","2233","2023-10-04 04:30:00","***0330","1000.00"
"140","1471","2023-10-04 04:33:00","***9280","700.00"
"141","2999","2023-10-04 05:05:00","***5700","200.00"
"142","2036","2023-10-04 06:03:00","***2270","700.00"
"143","1892","2023-10-04 06:03:00","***7390","600.00"
"144","1598","2023-10-04 06:05:00","***7000","300.00"
"145","1742","2023-10-04 07:10:00","***1580","1000.00"
"146","1825","2023-10-04 07:13:00","***6280","600.00"
"147","2093","2023-10-04 08:25:00","***9570","500.00"
"148","1313","2023-10-04 08:25:00","***4550","100.00"
"149","2143","2023-10-04 08:58:00","***1780","500.00"
"150","2106","2023-10-04 10:35:00","***6580","600.00"
"151","2629","2023-10-04 11:29:00","***5760","800.00"
"152","1495","2023-10-04 11:51:00","***2460","1000.00"
"153","1531","2023-10-04 11:54:00","***0540","500.00"
"154","2052","2023-10-04 11:58:00","***8300","900.00"
"155","1952","2023-10-04 12:37:00","***1110","100.00"
"156","2512","2023-10-04 13:28:00","***9670","100.00"
"157","134","2023-10-04 13:31:00","***6280","500.00"
"158","2686","2023-10-04 13:33:00","***8030","500.00"
"159","1637","2023-10-04 13:51:00","***3160","700.00"
"160","259","2023-10-04 14:44:00","***3880","1000.00"
"161","1536","2023-10-04 15:30:00","***5090","600.00"
"162","2494","2023-10-04 16:26:00","***4560","700.00"
"163","418","2023-10-04 16:52:00","***2750","400.00"
"164","2096","2023-10-04 16:56:00","***4210","900.00"
"165","310","2023-10-04 17:34:00","***1870","700.00"
"166","1948","2023-10-04 17:48:00","***8090","500.00"
"167","1744","2023-10-04 19:11:00","***1930","600.00"
"168","647","2023-10-04 19:49:00","***5630","200.00"
"169","2641","2023-10-04 20:21:00","***0760","400.00"
"170","2049","2023-10-04 21:34:00","***9510","300.00"
"171","188","2023-10-04 21:54:00","***8150","900.00"
"172","1659","2023-10-04 22:19:00","***0750","700.00"
"173","556","2023-10-04 22:27:00","***5180","700.00"
"174","1865","2023-10-04 22:46:00","***0120","300.00"
"175","2620","2023-10-04 23:23:00","***6690","200.00"
"176","338","2023-10-05 00:34:00","***7180","900.00"
"177","1679","2023-10-05 00:36:00","***3440","1000.00"
"178","1264","2023-10-05 00:43:00","***3770","1000.00"
"179","2111","2023-10-05 01:12:00","***1380","800.00"
"180","1411","2023-10-05 02:22:00","***6390","200.00"
"181","2374","2023-10-05 02:28:00","***5340","1000.00"
"182","2044","2023-10-05 03:40:00","***4250","400.00"
"183","276","2023-10-05 03:57:00","***2530","900.00"
"184","1122","2023-10-05 04:05:00","***0550","500.00"
"185","1569","2023-10-05 04:06:00","***2070","100.00"
"186","2512","2023-10-05 05:17:00","***9670","700.00"
"187","2084","2023-10-05 05:55:00","***3300","600.00"
"188","2084","2023-10-05 06:29:00","***3300","1000.00"
"189","1327","2023-10-05 07:46:00","***4900","800.00"
"190","2664","2023-10-05 08:16:00","***9150","200.00"
"191","1544","2023-10-05 09:05:00","***0270","1000.00"
"192","983","2023-10-05 09:38:00","***8880","300.00"
"193","2248","2023-10-05 10:45:00","***7040","800.00"
"194","2155","2023-10-05 11:09:00","***0360","700.00"
"195","2828","2023-10-05 11:17:00","***5670","300.00"
"196","2650","2023-10-05 11:18:00","***7700","700.00"
"197","2156","2023-10-05 11:42:00","***6180","700.00"
"198","2123","2023-10-05 12:36:00","***8860","400.00"
"199","2532","2023-10-05 13:26:00","***8700","100.00"
"200","1128","2023-10-05 14:57:00","***4990","900.00"
