"id";"user_id";"bike_id";"start_time";"end_time";"start_pos";"end_pos";"start_cost";"var_cost";"park_cost"
"1";"1644";"511";"2023-10-01 08:59";"2023-10-01 09:06";"[13.49945,59.40765]";"[13.50673,59.40555]";"10.00";"18.86";"100.00"
"2";"1800";"1036";"2023-10-01 09:37";"2023-10-01 09:46";"[12.00972,57.71829]";"[12.00759,57.71685]";"10.00";"25.59";"100.00"
"3";"1644";"511";"2023-10-01 09:54";"2023-10-01 09:58";"[13.50673,59.40555]";"[13.50325,59.40623]";"10.00";"9.02";"100.00"
"4";"1122";"8";"2023-10-01 10:10";"2023-10-01 10:18";"[18.01224,59.32543]";"[18.01308,59.32982]";"10.00";"22.04";"100.00"
"5";"1800";"1036";"2023-10-01 10:11";"2023-10-01 10:15";"[12.00759,57.71685]";"[12.00972,57.71829]";"10.00";"11.95";"100.00"
"6";"1874";"621";"2023-10-01 10:34";"2023-10-01 10:43";"[13.48132,59.38798]";"[13.48029,59.3884]";"10.00";"26.88";"100.00"
"7";"1875";"621";"2023-10-01 10:50";"2023-10-01 10:52";"[13.48029,59.3884]";"[13.47758,59.38993]";"10.00";"4.09";"100.00"
"8";"1122";"8";"2023-10-01 10:53";"2023-10-01 10:57";"[18.01308,59.32982]";"[18.0084,59.32815]";"10.00";"10.93";"100.00"
"9";"1644";"511";"2023-10-01 10:57";"2023-10-01 11:00";"[13.50325,59.40623]";"[13.49945,59.40765]";"10.00";"6.89";"100.00"
"10";"1875";"621";"2023-10-01 11:17";"2023-10-01 11:20";"[13.47758,59.38993]";"[13.48132,59.38798]";"10.00";"6.39";"100.00"
"11";"1122";"8";"2023-10-01 11:52";"2023-10-01 11:58";"[18.00839,59.32815]";"[18.01224,59.32543]";"10.00";"17.71";"100.00"
"12";"1577";"245";"2023-10-01 13:30";"2023-10-01 13:35";"[18.08479,59.3406]";"[18.07543,59.34087]";"10.00";"13.07";"100.00"
"13";"1217";"442";"2023-10-01 13:58";"2023-10-01 14:04";"[13.53757,59.40239]";"[13.53764,59.40272]";"10.00";"15.92";"100.00"
"14";"1218";"442";"2023-10-01 14:16";"2023-10-01 14:22";"[13.53764,59.40272]";"[13.53963,59.40065]";"10.00";"17.50";"100.00"
"15";"2018";"182";"2023-10-01 14:20";"2023-10-01 14:31";"[18.04154,59.34382]";"[18.03608,59.34608]";"10.00";"32.57";"100.00"
"16";"1577";"245";"2023-10-01 14:30";"2023-10-01 14:32";"[18.07543,59.34087]";"[18.0797,59.34079]";"10.00";"5.73";"100.00"
"17";"1219";"442";"2023-10-01 14:39";"2023-10-01 14:44";"[13.53963,59.40065]";"[13.53757,59.40239]";"10.00";"14.96";"100.00"
"18";"1578";"245";"2023-10-01 14:48";"2023-10-01 14:52";"[18.0797,59.34079]";"[18.08479,59.3406]";"10.00";"9.95";"100.00"
"19";"1127";"639";"2023-10-01 14:49";"2023-10-01 14:57";"[13.51569,59.38457]";"[13.51641,59.38813]";"10.00";"22.06";"100.00"
"20";"1188";"138";"2023-10-01 14:50";"2023-10-01 14:56";"[18.05782,59.34185]";"[18.05623,59.34095]";"10.00";"15.41";"100.00"
"21";"2019";"182";"2023-10-01 14:52";"2023-10-01 14:55";"[18.03608,59.34608]";"[18.04109,59.34612]";"10.00";"8.70";"100.00"
"22";"1037";"641";"2023-10-01 15:15";"2023-10-01 15:29";"[13.48458,59.4155]";"[13.48162,59.41766]";"10.00";"40.43";"100.00"
"23";"1796";"901";"2023-10-01 15:31";"2023-10-01 15:37";"[11.92239,57.71015]";"[11.9211,57.70986]";"10.00";"15.06";"100.00"
"24";"1128";"639";"2023-10-01 15:39";"2023-10-01 15:43";"[13.51641,59.38813]";"[13.51405,59.38675]";"10.00";"11.35";"100.00"
"25";"1189";"138";"2023-10-01 15:39";"2023-10-01 15:44";"[18.05623,59.34095]";"[18.06104,59.34165]";"10.00";"14.48";"100.00"
"26";"2020";"182";"2023-10-01 15:49";"2023-10-01 15:55";"[18.04109,59.34612]";"[18.04154,59.34382]";"10.00";"16.93";"100.00"
"27";"1189";"138";"2023-10-01 15:54";"2023-10-01 16:01";"[18.06104,59.34165]";"[18.05782,59.34185]";"10.00";"18.42";"100.00"
"28";"1128";"639";"2023-10-01 16:09";"2023-10-01 16:14";"[13.51405,59.38675]";"[13.51569,59.38457]";"10.00";"13.91";"100.00"
"29";"1037";"641";"2023-10-01 16:27";"2023-10-01 16:31";"[13.48162,59.41766]";"[13.48481,59.41693]";"10.00";"10.19";"100.00"
"30";"1796";"901";"2023-10-01 16:31";"2023-10-01 16:35";"[11.9211,57.70986]";"[11.91875,57.71184]";"10.00";"10.22";"100.00"
"31";"1038";"641";"2023-10-01 17:20";"2023-10-01 17:27";"[13.48481,59.41693]";"[13.48458,59.4155]";"10.00";"19.25";"100.00"
"32";"1794";"160";"2023-10-01 17:27";"2023-10-01 17:32";"[18.06905,59.34465]";"[18.07617,59.34307]";"10.00";"14.87";"100.00"
"33";"1796";"901";"2023-10-01 17:27";"2023-10-01 17:33";"[11.91875,57.71184]";"[11.92239,57.71015]";"10.00";"16.49";"100.00"
"34";"1794";"160";"2023-10-01 18:18";"2023-10-01 18:21";"[18.07617,59.34307]";"[18.07182,59.3439]";"10.00";"7.66";"100.00"
"35";"1795";"160";"2023-10-01 18:47";"2023-10-01 18:52";"[18.07182,59.3439]";"[18.06905,59.34465]";"10.00";"14.81";"100.00"
"36";"1985";"537";"2023-10-01 18:55";"2023-10-01 18:59";"[13.5565,59.41095]";"[13.55559,59.41584]";"10.00";"9.23";"100.00"
"37";"1986";"537";"2023-10-01 19:36";"2023-10-01 19:43";"[13.55559,59.41584]";"[13.55668,59.41347]";"10.00";"18.70";"100.00"
"38";"1726";"267";"2023-10-01 19:39";"2023-10-01 19:51";"[18.02133,59.34854]";"[18.01996,59.34749]";"5.00";"33.56";"5.00"
